game,id,hours,last_played,steam_deck,1980s,1990's,2.5d,2d,2d fighter,2d platformer,3d,3d fighter,3d platformer,4 player local,4x,6dof,action,action roguelike,action rpg,action rts,action-adventure,addictive,adventure,agriculture,aliens,alternate history,animation & modeling,anime,arcade,arena shooter,artificial intelligence,assassins,asymmetric vr,asynchronous multiplayer,atmospheric,auto battler,automation,automobile sim,base building,based on a novel,battle royale,beat 'em up,beautiful,board game,boomer shooter,building,bullet heaven,bullet hell,bullet time,capitalism,card battler,card game,cartoon,cartoony,casual,character customization,chess,choices matter,choose your own adventure,cinematic,city builder,class-based,classic,cleaning,co-op,co-op campaign,cold war,colony sim,colorful,combat,combat racing,comedy,comic book,competitive,controller,crafting,creature collector,crime,crowdfunded,crpg,cute,cyberpunk,dark,dark comedy,dark fantasy,dark humor,dating sim,deckbuilding,demons,design & illustration,destruction,detective,difficult,dinosaurs,diplomacy,dragons,driving,dungeon crawler,dwarves,dystopian,early access,economy,education,emotional,epic,esports,exploration,extraction shooter,family friendly,fantasy,farming sim,fast-paced,female protagonist,fighting,first-person,fishing,flight,football (american),football (soccer),fps,free to play,funny,futuristic,game development,gaming,god game,gore,gothic,grand strategy,great soundtrack,grid-based movement,gun customization,hack and slash,hand-drawn,heist,hentai,hero shooter,hex grid,hidden object,historical,horror,horses,hunting,immersive,immersive sim,indie,inventory management,investigation,isometric,jrpg,jump scare,kickstarter,lemmings,level editor,lgbtq+,life sim,linear,local co-op,local multiplayer,logic,loot,looter shooter,lore-rich,lovecraftian,magic,management,martial arts,massively multiplayer,mature,mechs,medieval,memes,metroidvania,military,minigames,minimalist,mining,mmorpg,moba,mod,moddable,modern,mouse only,multiplayer,multiple endings,mystery,mythology,nature,naval,naval combat,ninja,nonlinear,nostalgia,nudity,offroad,old school,online co-op,open world,open world survival craft,outbreak sim,parkour,parody,party,party game,party-based rpg,perma death,philosophical,photo editing,physics,pirates,pixel graphics,platformer,point & click,political sim,post-apocalyptic,procedural generation,psychedelic,psychological,psychological horror,puzzle,puzzle platformer,pve,pvp,quick-time events,racing,real time tactics,real-time,real-time with pause,realistic,reboot,relaxing,remake,replay value,resource management,retro,robots,roguelike,roguelike deckbuilder,roguelite,romance,rome,rpg,rts,sailing,samurai,sandbox,satire,sci-fi,science,score attack,sexual content,shooter,short,side scroller,silent protagonist,simulation,singleplayer,skiing,sniper,snow,snowboarding,social deduction,software,souls-like,soundtrack,space,space sim,spelling,split screen,sports,stealth,steampunk,story rich,strategy,strategy rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival horror,swordplay,tabletop,tactical,tactical rpg,tanks,team-based,third person,third-person shooter,thriller,time management,time manipulation,time travel,top-down,top-down shooter,touch-friendly,tower defense,trackir,trading,trading card game,trains,transportation,turn-based,turn-based combat,turn-based strategy,turn-based tactics,twin stick shooter,underwater,utilities,vehicular combat,vikings,violent,voxel,vr,walking simulator,war,wargame,western,word game,world war i,world war ii,wrestling,zombies
5D Chess With Multiverse Time Travel,1349230,1.4833333333333334,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,
7 Days to Die,251570,1.9166666666666667,,unknown,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x
A Total War Saga: THRONES OF BRITANNIA,712100,12.533333333333333,,unknown,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,x,,,,x,,,,,,,
Ace of Spades: Battle Builder,224540,18.6,,unknown,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
Age of Empires II (Retired),221380,3.8,,unknown,,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Empires II: Definitive Edition,813780,43.35,,unknown,,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Empires III: Definitive Edition,933110,6.433333333333334,,unknown,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Age of Empires IV: Anniversary Edition,1466860,4.733333333333333,,unknown,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
AirMech,206500,6.733333333333333,,unknown,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,x,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Among Us,945360,13.133333333333333,,unknown,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
